,country,year,gender,gold,silver,bronze,total
147,Switzerland,1932,male,5,5,4,14
148,Netherlands,1932,male,4,4,3,11
149,Hungary,1932,male,4,4,0,8
150,Italy,1932,male,3,4,5,12
151,Great Britain,1932,male,3,3,2,8
152,Argentina,1932,male,3,2,0,5
153,Austria,1932,male,3,0,0,3
154,Czechoslovakia,1932,male,2,4,2,8
155,Canada,1932,male,2,2,3,7
156,Denmark,1932,male,2,1,4,7
157,Egypt,1932,male,2,1,1,4
158,Estonia,1932,male,2,1,1,4
159,Japan,1932,male,2,0,1,3
160,Australia,1932,male,1,2,1,4
161,Yugoslavia,1932,male,1,1,2,4
162,Poland,1932,male,1,0,1,2
163,South Africa,1932,male,1,0,1,2
164,Ireland,1932,male,1,0,0,1
165,Luxembourg,1932,male,1,0,0,1
166,New Zealand,1932,male,1,0,0,1
167,Belgium,1932,male,0,1,1,2
168,Norway,1932,male,0,1,1,2
169,Chile,1932,male,0,1,0,1
170,Haiti,1932,male,0,1,0,1
171,Philippines,1932,male,0,0,1,1
172,Germany,1936,male,22,21,21,64
173,United States,1936,male,17,17,8,42
174,Finland,1936,male,8,6,5,19
175,Hungary,1936,male,6,1,3,10
176,France,1936,male,5,4,2,11
177,Sweden,1936,male,5,3,7,15
178,Italy,1936,male,4,8,5,17
179,Japan,1936,male,4,4,10,18
180,Austria,1936,male,4,3,2,9
181,Switzerland,1936,male,3,6,3,12
182,Estonia,1936,male,2,2,3,7
183,Netherlands,1936,male,2,1,3,6
184,Egypt,1936,male,2,1,2,5
185,Czechoslovakia,1936,male,1,4,1,6
186,Great Britain,1936,male,1,3,1,5
187,Argentina,1936,male,1,1,2,4
188,Canada,1936,male,1,1,2,4
189,Norway,1936,male,1,1,1,3
190,Türkiye,1936,male,1,0,1,2
191,New Zealand,1936,male,1,0,0,1
192,Poland,1936,male,0,1,3,4
193,Latvia,1936,male,0,1,1,2
194,Romania,1936,male,0,1,0,1
195,South Africa,1936,male,0,1,0,1
196,Yugoslavia,1936,male,0,1,0,1
197,Denmark,1936,male,0,0,2,2
198,Australia,1936,male,0,0,1,1
199,Belgium,1936,male,0,0,1,1
200,Mexico,1936,male,0,0,1,1
201,Philippines,1936,male,0,0,1,1
202,Germany,1948,male,22,21,21,64
203,United States,1948,male,17,17,8,42
204,Finland,1948,male,8,6,5,19
205,Hungary,1948,male,6,1,3,10
206,France,1948,male,5,4,2,11
207,Sweden,1948,male,5,3,7,15
208,Italy,1948,male,4,8,5,17
209,Japan,1948,male,4,4,10,18
210,Austria,1948,male,4,3,2,9
211,Switzerland,1948,male,3,6,3,12
212,Estonia,1948,male,2,2,3,7
213,Netherlands,1948,male,2,1,3,6
214,Egypt,1948,male,2,1,2,5
215,Czechoslovakia,1948,male,1,4,1,6
216,Great Britain,1948,male,1,3,1,5
217,Argentina,1948,male,1,1,2,4
218,Canada,1948,male,1,1,2,4
219,Norway,1948,male,1,1,1,3
220,Türkiye,1948,male,1,0,1,2
221,New Zealand,1948,male,1,0,0,1
222,Poland,1948,male,0,1,3,4
223,Latvia,1948,male,0,1,1,2
224,Romania,1948,male,0,1,0,1
225,South Africa,1948,male,0,1,0,1
226,Yugoslavia,1948,male,0,1,0,1
227,Denmark,1948,male,0,0,2,2
228,Australia,1948,male,0,0,1,1
229,Belgium,1948,male,0,0,1,1
230,Mexico,1948,male,0,0,1,1
231,Philippines,1948,male,0,0,1,1
232,United States,1952,male,30,16,10,56
233,Soviet Union,1952,male,15,16,12,43
234,Sweden,1952,male,9,8,8,25
235,Hungary,1952,male,6,6,7,19
236,Czechoslovakia,1952,male,5,2,2,9
237,Italy,1952,male,4,6,2,12
238,France,1952,male,3,4,3,10
239,Finland,1952,male,3,3,9,15
240,Switzerland,1952,male,2,3,4,9
241,Australia,1952,male,2,2,1,5
242,Türkiye,1952,male,2,0,1,3
243,Norway,1952,male,2,0,0,2
244,Japan,1952,male,1,5,2,8
245,Jamaica,1952,male,1,3,0,4
246,Poland,1952,male,1,2,1,4
247,Romania,1952,male,1,1,2,4
248,Belgium,1952,male,1,1,0,2
249,Canada,1952,male,1,1,0,2
250,Brazil,1952,male,1,0,2,3
251,Denmark,1952,male,1,0,1,2
252,Luxembourg,1952,male,1,0,0,1
253,Germany,1952,male,0,3,11,14
254,Islamic Republic of Iran,1952,male,0,3,4,7
255,Argentina,1952,male,0,2,2,4
256,South Africa,1952,male,0,1,4,5
257,Great Britain,1952,male,0,1,3,4
258,Lebanon,1952,male,0,1,1,2
259,Chile,1952,male,0,1,0,1
260,Ireland,1952,male,0,1,0,1
261,Mexico,1952,male,0,1,0,1
262,Spain,1952,male,0,1,0,1
263,Republic of Korea,1952,male,0,0,2,2
264,Trinidad and Tobago,1952,male,0,0,2,2
265,Bulgaria,1952,male,0,0,1,1
266,Egypt,1952,male,0,0,1,1
267,India,1952,male,0,0,1,1
268,New Zealand,1952,male,0,0,1,1
269,Venezuela,1952,male,0,0,1,1
270,Soviet Union,1956,male,25,18,22,65
271,United States,1956,male,21,15,13,49
272,Japan,1956,male,4,9,5,18
273,Italy,1956,male,4,5,7,16
274,Australia,1956,male,4,4,6,14
275,Romania,1956,male,4,2,3,9
276,Sweden,1956,male,3,3,5,11
277,Great Britain,1956,male,3,3,4,10
278,Türkiye,1956,male,3,2,2,7
279,Finland,1956,male,3,1,8,12
280,France,1956,male,3,1,3,7
281,Hungary,1956,male,2,6,3,11
282,Germany,1956,male,2,4,1,7
283,Islamic Republic of Iran,1956,male,2,2,1,5
284,Bulgaria,1956,male,1,3,0,4
285,Ireland,1956,male,1,1,3,5
286,Norway,1956,male,1,0,2,3
287,Canada,1956,male,1,0,1,2
288,Mexico,1956,male,1,0,1,2
289,Brazil,1956,male,1,0,0,1
290,Denmark,1956,male,1,0,0,1
291,New Zealand,1956,male,1,0,0,1
292,Poland,1956,male,0,3,3,6
293,Czechoslovakia,1956,male,0,2,1,3
294,Belgium,1956,male,0,2,0,2
295,Chile,1956,male,0,1,2,3
296,Argentina,1956,male,0,1,1,2
297,Republic of Korea,1956,male,0,1,1,2
298,Iceland,1956,male,0,1,0,1
299,Yugoslavia,1956,male,0,1,0,1
300,South Africa,1956,male,0,0,3,3
301,Greece,1956,male,0,0,1,1
302,Soviet Union,1960,male,25,15,19,59
303,United States,1960,male,20,17,12,49
304,Italy,1960,male,8,7,6,21
305,Türkiye,1960,male,7,2,0,9
306,Australia,1960,male,6,4,4,14
307,Hungary,1960,male,4,5,3,12
308,Poland,1960,male,4,3,8,15
309,Germany,1960,male,3,9,3,15
310,Japan,1960,male,3,6,5,14
311,Romania,1960,male,2,1,3,6
312,New Zealand,1960,male,2,0,1,3
313,Denmark,1960,male,2,0,0,2
314,Bulgaria,1960,male,1,3,3,7
315,Great Britain,1960,male,1,1,8,10
316,Finland,1960,male,1,1,2,4
317,Czechoslovakia,1960,male,1,0,2,3
318,Austria,1960,male,1,0,0,1
319,Ethiopia,1960,male,1,0,0,1
320,Belgium,1960,male,0,2,2,4
321,Switzerland,1960,male,0,2,1,3
322,Islamic Republic of Iran,1960,male,0,1,3,4
323,Sweden,1960,male,0,1,3,4
324,France,1960,male,0,1,2,3
325,South Africa,1960,male,0,1,2,3
326,United Arab Republic,1960,male,0,1,1,2
327,Chinese Taipei,1960,male,0,1,0,1
328,Ghana,1960,male,0,1,0,1
329,Morocco,1960,male,0,1,0,1
330,Singapore,1960,male,0,1,0,1
331,Yugoslavia,1960,male,0,1,0,1
332,Argentina,1960,male,0,0,1,1
333,Brazil,1960,male,0,0,1,1
334,Iraq,1960,male,0,0,1,1
335,Mexico,1960,male,0,0,1,1
336,Netherlands,1960,male,0,0,1,1
337,Pakistan,1960,male,0,0,1,1
338,Venezuela,1960,male,0,0,1,1
339,West Indies Federation,1960,male,0,0,1,1
340,Soviet Union,1964,male,25,15,19,59
341,United States,1964,male,20,17,12,49
342,Italy,1964,male,8,7,6,21
343,Türkiye,1964,male,7,2,0,9
344,Australia,1964,male,6,4,4,14
345,Hungary,1964,male,4,5,3,12
346,Poland,1964,male,4,3,8,15
347,Germany,1964,male,3,9,3,15
348,Japan,1964,male,3,6,5,14
349,Romania,1964,male,2,1,3,6
350,New Zealand,1964,male,2,0,1,3
351,Denmark,1964,male,2,0,0,2
352,Bulgaria,1964,male,1,3,3,7
353,Great Britain,1964,male,1,1,8,10
354,Finland,1964,male,1,1,2,4
355,Czechoslovakia,1964,male,1,0,2,3
356,Austria,1964,male,1,0,0,1
357,Ethiopia,1964,male,1,0,0,1
358,Belgium,1964,male,0,2,2,4
359,Switzerland,1964,male,0,2,1,3
360,Islamic Republic of Iran,1964,male,0,1,3,4
361,Sweden,1964,male,0,1,3,4
362,France,1964,male,0,1,2,3
363,South Africa,1964,male,0,1,2,3
364,United Arab Republic,1964,male,0,1,1,2
365,Chinese Taipei,1964,male,0,1,0,1
366,Ghana,1964,male,0,1,0,1
367,Morocco,1964,male,0,1,0,1
368,Singapore,1964,male,0,1,0,1
369,Yugoslavia,1964,male,0,1,0,1
370,Argentina,1964,male,0,0,1,1
371,Brazil,1964,male,0,0,1,1
372,Iraq,1964,male,0,0,1,1
373,Mexico,1964,male,0,0,1,1
374,Netherlands,1964,male,0,0,1,1
375,Pakistan,1964,male,0,0,1,1
376,Venezuela,1964,male,0,0,1,1
377,West Indies Federation,1964,male,0,0,1,1
378,United States,1968,male,22,18,23,63
379,Soviet Union,1968,male,18,20,13,51
380,Japan,1968,male,10,5,6,21
381,Hungary,1968,male,6,5,6,17
382,East Germany,1968,male,6,2,3,11
383,Poland,1968,male,4,2,7,13
384,France,1968,male,4,2,3,9
385,Kenya,1968,male,3,3,2,8
386,Great Britain,1968,male,3,2,2,7
387,Mexico,1968,male,3,2,2,7
388,Australia,1968,male,3,1,1,5
389,Italy,1968,male,2,3,5,10
390,Bulgaria,1968,male,2,3,3,8
391,Islamic Republic of Iran,1968,male,2,1,2,5
392,Türkiye,1968,male,2,0,0,2
393,West Germany,1968,male,1,7,7,15
394,Romania,1968,male,1,3,3,7
395,Finland,1968,male,1,2,1,4
396,Yugoslavia,1968,male,1,1,2,4
397,Ethiopia,1968,male,1,1,0,2
398,Czechoslovakia,1968,male,1,0,3,4
399,Sweden,1968,male,1,0,1,2
400,Tunisia,1968,male,1,0,1,2
401,Netherlands,1968,male,1,0,0,1
402,Venezuela,1968,male,1,0,0,1
403,Denmark,1968,male,0,3,1,4
404,Cuba,1968,male,0,2,0,2
405,Mongolia,1968,male,0,1,3,4
406,Brazil,1968,male,0,1,1,2
407,Republic of Korea,1968,male,0,1,1,2
408,Uganda,1968,male,0,1,1,2
409,Austria,1968,male,0,1,0,1
410,Belgium,1968,male,0,1,0,1
411,Cameroon,1968,male,0,1,0,1
412,Canada,1968,male,0,1,0,1
413,Jamaica,1968,male,0,1,0,1
414,Argentina,1968,male,0,0,2,2
415,New Zealand,1968,male,0,0,2,2
416,Switzerland,1968,male,0,0,2,2
417,Greece,1968,male,0,0,1,1
418,United States,1972,male,22,18,23,63
419,Soviet Union,1972,male,18,20,13,51
420,Japan,1972,male,10,5,6,21
421,Hungary,1972,male,6,5,6,17
422,East Germany,1972,male,6,2,3,11
423,Poland,1972,male,4,2,7,13
424,France,1972,male,4,2,3,9
425,Kenya,1972,male,3,3,2,8
426,Great Britain,1972,male,3,2,2,7
427,Mexico,1972,male,3,2,2,7
428,Australia,1972,male,3,1,1,5
429,Italy,1972,male,2,3,5,10
430,Bulgaria,1972,male,2,3,3,8
431,Islamic Republic of Iran,1972,male,2,1,2,5
432,Türkiye,1972,male,2,0,0,2
433,West Germany,1972,male,1,7,7,15
434,Romania,1972,male,1,3,3,7
435,Finland,1972,male,1,2,1,4
436,Yugoslavia,1972,male,1,1,2,4
437,Ethiopia,1972,male,1,1,0,2
438,Czechoslovakia,1972,male,1,0,3,4
439,Sweden,1972,male,1,0,1,2
440,Tunisia,1972,male,1,0,1,2
441,Netherlands,1972,male,1,0,0,1
442,Venezuela,1972,male,1,0,0,1
443,Denmark,1972,male,0,3,1,4
444,Cuba,1972,male,0,2,0,2
445,Mongolia,1972,male,0,1,3,4
446,Brazil,1972,male,0,1,1,2
447,Republic of Korea,1972,male,0,1,1,2
448,Uganda,1972,male,0,1,1,2
449,Austria,1972,male,0,1,0,1
450,Belgium,1972,male,0,1,0,1
451,Cameroon,1972,male,0,1,0,1
452,Canada,1972,male,0,1,0,1
453,Jamaica,1972,male,0,1,0,1
454,Argentina,1972,male,0,0,2,2
455,New Zealand,1972,male,0,0,2,2
456,Switzerland,1972,male,0,0,2,2
457,Greece,1972,male,0,0,1,1
458,Soviet Union,1976,male,28,16,12,56
459,United States,1976,male,18,21,21,60
460,Japan,1976,male,10,7,8,25
461,East Germany,1976,male,7,4,11,22
462,Bulgaria,1976,male,6,8,2,16
463,Hungary,1976,male,5,6,12,23
464,Poland,1976,male,5,3,6,14
465,West Germany,1976,male,4,5,7,16
466,Sweden,1976,male,3,3,5,11
467,Italy,1976,male,3,2,6,11
468,Romania,1976,male,3,2,3,8
469,Finland,1976,male,3,1,3,7
470,Cuba,1976,male,3,1,1,5
471,Netherlands,1976,male,3,0,0,3
472,France,1976,male,2,3,4,9
473,Czechoslovakia,1976,male,2,1,0,3
474,Norway,1976,male,2,0,0,2
475,Australia,1976,male,1,4,0,5
476,Kenya,1976,male,1,3,4,8
477,Great Britain,1976,male,1,2,8,11
478,Democratic People's Republic of Korea,1976,male,1,1,2,4
479,Yugoslavia,1976,male,1,1,2,4
480,Uganda,1976,male,1,1,0,2
481,Denmark,1976,male,1,0,0,1
482,Islamic Republic of Iran,1976,male,0,2,1,3
483,Belgium,1976,male,0,2,0,2
484,Greece,1976,male,0,2,0,2
485,Colombia,1976,male,0,1,2,3
486,Austria,1976,male,0,1,1,2
487,Argentina,1976,male,0,1,0,1
488,Canada,1976,male,0,1,0,1
489,Lebanon,1976,male,0,1,0,1
490,Mexico,1976,male,0,1,0,1
491,Mongolia,1976,male,0,1,0,1
492,Republic of Korea,1976,male,0,1,0,1
493,Switzerland,1976,male,0,1,0,1
494,Tunisia,1976,male,0,1,0,1
495,Türkiye,1976,male,0,1,0,1
496,Brazil,1976,male,0,0,2,2
497,Ethiopia,1976,male,0,0,2,2
498,Ghana,1976,male,0,0,1,1
499,Jamaica,1976,male,0,0,1,1
500,New Zealand,1976,male,0,0,1,1
501,Niger,1976,male,0,0,1,1
502,Nigeria,1976,male,0,0,1,1
503,Spain,1976,male,0,0,1,1
504,Soviet Union,1980,male,28,16,12,56
505,United States,1980,male,18,21,21,60
506,Japan,1980,male,10,7,8,25
507,East Germany,1980,male,7,4,11,22
508,Bulgaria,1980,male,6,8,2,16
509,Hungary,1980,male,5,6,12,23
510,Poland,1980,male,5,3,6,14
511,West Germany,1980,male,4,5,7,16
512,Sweden,1980,male,3,3,5,11
513,Italy,1980,male,3,2,6,11
514,Romania,1980,male,3,2,3,8
515,Finland,1980,male,3,1,3,7
516,Cuba,1980,male,3,1,1,5
517,Netherlands,1980,male,3,0,0,3
518,France,1980,male,2,3,4,9
519,Czechoslovakia,1980,male,2,1,0,3
520,Norway,1980,male,2,0,0,2
521,Australia,1980,male,1,4,0,5
522,Kenya,1980,male,1,3,4,8
523,Great Britain,1980,male,1,2,8,11
524,Democratic People's Republic of Korea,1980,male,1,1,2,4
525,Yugoslavia,1980,male,1,1,2,4
526,Uganda,1980,male,1,1,0,2
527,Denmark,1980,male,1,0,0,1
528,Islamic Republic of Iran,1980,male,0,2,1,3
529,Belgium,1980,male,0,2,0,2
530,Greece,1980,male,0,2,0,2
531,Colombia,1980,male,0,1,2,3
532,Austria,1980,male,0,1,1,2
533,Argentina,1980,male,0,1,0,1
534,Canada,1980,male,0,1,0,1
535,Lebanon,1980,male,0,1,0,1
536,Mexico,1980,male,0,1,0,1
537,Mongolia,1980,male,0,1,0,1
538,Republic of Korea,1980,male,0,1,0,1
539,Switzerland,1980,male,0,1,0,1
540,Tunisia,1980,male,0,1,0,1
541,Türkiye,1980,male,0,1,0,1
542,Brazil,1980,male,0,0,2,2
543,Ethiopia,1980,male,0,0,2,2
544,Ghana,1980,male,0,0,1,1
545,Jamaica,1980,male,0,0,1,1
546,New Zealand,1980,male,0,0,1,1
547,Niger,1980,male,0,0,1,1
548,Nigeria,1980,male,0,0,1,1
549,Spain,1980,male,0,0,1,1
550,United States,1984,male,42,28,19,89
551,West Germany,1984,male,11,9,9,29
552,Japan,1984,male,10,8,10,28
553,People's Republic of China,1984,male,10,6,5,21
554,Italy,1984,male,8,4,8,20
555,Republic of Korea,1984,male,5,4,6,15
556,Canada,1984,male,4,8,8,20
557,Romania,1984,male,4,7,8,19
558,France,1984,male,4,4,8,16
559,Finland,1984,male,4,1,6,11
560,New Zealand,1984,male,4,1,1,6
561,Great Britain,1984,male,3,5,11,19
562,Yugoslavia,1984,male,3,3,4,10
563,Australia,1984,male,2,4,4,10
564,Mexico,1984,male,2,3,1,6
565,Brazil,1984,male,1,2,2,5
566,Austria,1984,male,1,1,1,3
567,Kenya,1984,male,1,0,2,3
568,Netherlands,1984,male,1,0,1,2
569,Portugal,1984,male,1,0,1,2
570,Belgium,1984,male,1,0,0,1
571,Morocco,1984,male,1,0,0,1
572,Sweden,1984,male,0,8,4,12
573,Switzerland,1984,male,0,2,3,5
574,Denmark,1984,male,0,2,1,3
575,Greece,1984,male,0,1,1,2
576,Puerto Rico,1984,male,0,1,1,2
577,Colombia,1984,male,0,1,0,1
578,Côte d'Ivoire,1984,male,0,1,0,1
579,Egypt,1984,male,0,1,0,1
580,Ireland,1984,male,0,1,0,1
581,Nigeria,1984,male,0,1,0,1
582,Peru,1984,male,0,1,0,1
583,Syrian Arab Republic,1984,male,0,1,0,1
584,Thailand,1984,male,0,1,0,1
585,Türkiye,1984,male,0,0,3,3
586,Venezuela,1984,male,0,0,3,3
587,Algeria,1984,male,0,0,2,2
588,Cameroon,1984,male,0,0,1,1
589,Chinese Taipei,1984,male,0,0,1,1
590,Dominican Republic,1984,male,0,0,1,1
591,Iceland,1984,male,0,0,1,1
592,Norway,1984,male,0,0,1,1
593,Spain,1984,male,0,0,1,1
594,Zambia,1984,male,0,0,1,1
595,United States,1988,male,42,28,19,89
596,West Germany,1988,male,11,9,9,29
597,Japan,1988,male,10,8,10,28
598,People's Republic of China,1988,male,10,6,5,21
599,Italy,1988,male,8,4,8,20
600,Republic of Korea,1988,male,5,4,6,15
601,Canada,1988,male,4,8,8,20
602,Romania,1988,male,4,7,8,19
603,France,1988,male,4,4,8,16
604,Finland,1988,male,4,1,6,11
605,New Zealand,1988,male,4,1,1,6
606,Great Britain,1988,male,3,5,11,19
607,Yugoslavia,1988,male,3,3,4,10
608,Australia,1988,male,2,4,4,10
609,Mexico,1988,male,2,3,1,6
610,Brazil,1988,male,1,2,2,5
611,Austria,1988,male,1,1,1,3
612,Kenya,1988,male,1,0,2,3
613,Netherlands,1988,male,1,0,1,2
614,Portugal,1988,male,1,0,1,2
615,Belgium,1988,male,1,0,0,1
616,Morocco,1988,male,1,0,0,1
617,Sweden,1988,male,0,8,4,12
618,Switzerland,1988,male,0,2,3,5
619,Denmark,1988,male,0,2,1,3
620,Greece,1988,male,0,1,1,2
621,Puerto Rico,1988,male,0,1,1,2
622,Colombia,1988,male,0,1,0,1
623,Côte d'Ivoire,1988,male,0,1,0,1
624,Egypt,1988,male,0,1,0,1
625,Ireland,1988,male,0,1,0,1
626,Nigeria,1988,male,0,1,0,1
627,Peru,1988,male,0,1,0,1
628,Syrian Arab Republic,1988,male,0,1,0,1
629,Thailand,1988,male,0,1,0,1
630,Türkiye,1988,male,0,0,3,3
631,Venezuela,1988,male,0,0,3,3
632,Algeria,1988,male,0,0,2,2
633,Cameroon,1988,male,0,0,1,1
634,Chinese Taipei,1988,male,0,0,1,1
635,Dominican Republic,1988,male,0,0,1,1
636,Iceland,1988,male,0,0,1,1
637,Norway,1988,male,0,0,1,1
638,Spain,1988,male,0,0,1,1
639,Zambia,1988,male,0,0,1,1
640,Unified Team,1992,male,28,22,15,65
641,United States,1992,male,16,18,15,49
642,Germany,1992,male,10,7,14,31
643,Cuba,1992,male,10,3,6,19
644,Hungary,1992,male,6,6,6,18
645,Republic of Korea,1992,male,5,3,7,15
646,Spain,1992,male,5,3,1,9
647,France,1992,male,4,4,7,15
648,Czechoslovakia,1992,male,4,1,1,6
649,Democratic People's Republic of Korea,1992,male,4,0,3,7
650,People's Republic of China,1992,male,3,6,7,16
651,Australia,1992,male,3,4,3,10
652,Bulgaria,1992,male,3,4,3,10
653,Italy,1992,male,3,2,5,10
654,Japan,1992,male,2,4,5,11
655,Poland,1992,male,2,4,5,11
656,Kenya,1992,male,2,4,2,8
657,Canada,1992,male,2,3,3,8
658,Great Britain,1992,male,2,2,5,9
659,Türkiye,1992,male,2,2,1,5
660,Sweden,1992,male,1,3,3,7
661,Norway,1992,male,1,2,1,4
662,Finland,1992,male,1,1,2,4
663,Indonesia,1992,male,1,1,1,3
664,Morocco,1992,male,1,1,1,3
665,Brazil,1992,male,1,1,0,2
666,Ireland,1992,male,1,1,0,2
667,Greece,1992,male,1,0,0,1
668,Lithuania,1992,male,1,0,0,1
669,Switzerland,1992,male,1,0,0,1
670,Netherlands,1992,male,0,4,2,6
671,Latvia,1992,male,0,2,1,3
672,Namibia,1992,male,0,2,0,2
673,Nigeria,1992,male,0,2,0,2
674,New Zealand,1992,male,0,1,4,5
675,Islamic Republic of Iran,1992,male,0,1,2,3
676,Jamaica,1992,male,0,1,0,1
677,Mexico,1992,male,0,1,0,1
678,Peru,1992,male,0,1,0,1
679,Romania,1992,male,0,0,4,4
680,Denmark,1992,male,0,0,2,2
681,Ethiopia,1992,male,0,0,2,2
682,Algeria,1992,male,0,0,1,1
683,Belgium,1992,male,0,0,1,1
684,Croatia,1992,male,0,0,1,1
685,Independent Olympic Athletes,1992,male,0,0,1,1
686,Israel,1992,male,0,0,1,1
687,Mongolia,1992,male,0,0,1,1
